cell_id,west,south,east,north,occurrence_count
gh5-00000,-170.0244140625,-14.2822265625,-169.98046875,-14.23828125,60506
gh5-00001,-170.0244140625,-14.677734375,-169.98046875,-14.6337890625,47785
gh5-00002,-169.62890625,-14.1943359375,-169.5849609375,-14.150390625,16251
gh5-00003,-170.771484375,-14.3701171875,-170.7275390625,-14.326171875,14562
gh5-00004,-169.716796875,-14.1943359375,-169.6728515625,-14.150390625,14136
gh5-00005,-169.6728515625,-14.1943359375,-169.62890625,-14.150390625,12872
gh5-00006,-170.6396484375,-14.2822265625,-170.595703125,-14.23828125,10397
gh5-00007,-170.595703125,-14.2822265625,-170.5517578125,-14.23828125,10124
gh5-00008,-170.68359375,-14.2822265625,-170.6396484375,-14.23828125,9819
gh5-00009,-170.8154296875,-14.3701171875,-170.771484375,-14.326171875,9414
gh5-00010,-169.453125,-14.23828125,-169.4091796875,-14.1943359375,9327
gh5-00011,-170.68359375,-14.326171875,-170.6396484375,-14.2822265625,8865
gh5-00012,-170.8154296875,-14.326171875,-170.771484375,-14.2822265625,8232
gh5-00013,-169.541015625,-14.2822265625,-169.4970703125,-14.23828125,8142
gh5-00014,-169.4970703125,-14.23828125,-169.453125,-14.1943359375,7504
gh5-00015,-169.541015625,-14.23828125,-169.4970703125,-14.1943359375,6610
gh5-00016,-170.7275390625,-14.2822265625,-170.68359375,-14.23828125,6525
gh5-00017,-169.453125,-14.2822265625,-169.4091796875,-14.23828125,6248
gh5-00018,-169.4970703125,-14.2822265625,-169.453125,-14.23828125,6225
gh5-00019,-170.771484375,-14.326171875,-170.7275390625,-14.2822265625,5343
gh5-00020,-170.7275390625,-14.3701171875,-170.68359375,-14.326171875,5319
gh5-00021,-170.7275390625,-14.326171875,-170.68359375,-14.2822265625,5048
gh5-00022,-170.859375,-14.326171875,-170.8154296875,-14.2822265625,5031
gh5-00023,-170.595703125,-14.326171875,-170.5517578125,-14.2822265625,4562
gh5-00024,-170.6396484375,-14.326171875,-170.595703125,-14.2822265625,4392
gh5-00025,-170.859375,-14.3701171875,-170.8154296875,-14.326171875,3732
gh5-00026,-170.5517578125,-14.2822265625,-170.5078125,-14.23828125,2509
gh5-00027,-170.68359375,-14.23828125,-170.6396484375,-14.1943359375,1855
gh5-00028,-169.0576171875,-14.23828125,-169.013671875,-14.1943359375,1443
gh5-00029,-170.771484375,-14.2822265625,-170.7275390625,-14.23828125,1300
gh5-00030,-170.8154296875,-14.2822265625,-170.771484375,-14.23828125,914
gh5-00031,-170.0244140625,-14.501953125,-169.98046875,-14.4580078125,797
gh5-00032,-169.1015625,-14.23828125,-169.0576171875,-14.1943359375,788
gh5-00033,-170.5517578125,-14.326171875,-170.5078125,-14.2822265625,749
gh5-00034,-170.33203125,-14.3701171875,-170.2880859375,-14.326171875,714
gh5-00035,-170.771484375,-14.4140625,-170.7275390625,-14.3701171875,711
gh5-00036,-170.1123046875,-14.0625,-170.068359375,-14.0185546875,593
gh5-00037,-170.7275390625,-14.23828125,-170.68359375,-14.1943359375,532
gh5-00038,-170.5078125,-14.2822265625,-170.4638671875,-14.23828125,529
gh5-00039,-170.8154296875,-14.4140625,-170.771484375,-14.3701171875,337
